fsca,fsch
73024,54656
132544,118400
167488,144960
211072,180672
161472,141376
134144,117632
123712,110080
136576,122176
217152,171072
158336,138112
140544,121664
133120,118144
122432,109056
129664,114368
111232,98176
122752,108864
122880,109504
32832,30080
27136,24128
117760,104896
116480,104320
38976,35008
163072,145472
139968,123776
124736,106880
117056,102464
160256,134784
94848,81472
69824,46656
44352,39808
24192,24000
187648,155264
50560,46912
209792,186176
78592,69120
129408,117120
157248,140544
128128,114688
133824,119104
82496,72768
138432,121280
144448,127168
179392,154048
131840,118144
110144,99136
23168,21504
180864,155328
70208,62528
148096,129408
122624,108544
21760,21248
178624,156608
50944,44736
123264,106112
108992,96768
23552,22912
96896,85504
75584,66368
213568,183168
124800,107136
67392,60160
198784,169536
208192,180864
120448,104704
124608,109440
190144,158912
151616,134208
34752,33088
115136,102336
21824,20288
142336,128448
99072,86976
154944,137280
71040,63488
65728,59200
72832,64896
111296,97792
129280,115072
72512,61312
110144,99136
151552,131584
116608,101952
145984,131200
119104,103232
125376,108608
80448,72128
163904,142272
76800,67328
176000,149504
137728,119552
150336,135808
180416,150784
125504,108608
81600,70784
54080,47872
132032,114048
206336,178496
128960,113600
110080,98880
